"Player","League_from","League_to","Fee","Season"
"Kai Havertz","Bundesliga","Premier League","72","20-21"
"Arthur","LaLiga","Serie A","64.8","20-21"
"Victor Osimhen","Ligue 1","Serie A","63","20-21"
"Rúben Dias","Liga NOS","Premier League","61.2","20-21"
"Timo Werner","Bundesliga","Premier League","47.7","20-21"
"Ben Chilwell","Premier League","Premier League","45.18","20-21"
"Mauro Icardi","Serie A","Ligue 1","45","20-21"
"Thomas Partey","LaLiga","Premier League","45","20-21"
"Nathan Aké","Championship","Premier League","40.77","20-21"
"Leroy Sané","Premier League","Bundesliga","40.5","20-21"
"Diogo Jota","Premier League","Premier League","40.23","20-21"
"Achraf Hakimi","LaLiga","Serie A","36","20-21"
"Hakim Ziyech","Eredivisie","Premier League","36","20-21"
"Fábio Silva","Liga NOS","Premier League","36","20-21"
"Donny van de Beek","Eredivisie","Premier League","35.1","20-21"
"Álvaro Morata","Premier League","LaLiga","31.5","20-21"
"Wesley Fofana","Ligue 1","Premier League","31.5","20-21"
"Giovani Lo Celso","LaLiga","Premier League","28.8","20-21"
"Trincão","Liga NOS","LaLiga","27.9","20-21"
"Ollie Watkins","Championship","Premier League","27.72","20-21"
"Rodrigo","LaLiga","Premier League","27","20-21"
"Nélson Semedo","LaLiga","Premier League","27","20-21"
"Sergio Reguilón","LaLiga","Premier League","27","20-21"
"Nicolò Barella","Serie A","Serie A","25.2","20-21"
"Ben Godfrey","Championship","Premier League","24.75","20-21"
"Jonathan David","Jupiler Pro League","Ligue 1","24.3","20-21"
"Yannick Carrasco","Super League","LaLiga","24.3","20-21"
"Patrik Schick","Serie A","Bundesliga","23.85","20-21"
"Gabriel","Ligue 1","Premier League","23.4","20-21"
"Rhian Brewster","Premier League","Premier League","23.4","20-21"
"Jérémy Doku","Jupiler Pro League","Ligue 1","23.4","20-21"
"Allan","Serie A","Premier League","22.5","20-21"
"Emre Can","Serie A","Bundesliga","22.5","20-21"
"Timothy Castagne","Serie A","Premier League","21.6","20-21"
"Darwin Núñez","LaLiga2","Liga NOS","21.6","20-21"
"Edouard Mendy","Ligue 1","Premier League","21.6","20-21"
"Saïd Benrahma","Championship","Premier League","20.79","20-21"
"Ferran Torres","LaLiga","Premier League","20.7","20-21"
"Jude Bellingham","Championship","Bundesliga","20.7","20-21"
"Sébastien Haller","Premier League","Eredivisie","20.25","20-21"
"Callum Wilson","Championship","Premier League","20.03","20-21"
"Abdoulaye Doucouré","Championship","Premier League","19.89","20-21"
"Thiago","Bundesliga","Premier League","19.8","20-21"
"Simone Verdi","Serie A","Serie A","19.8","20-21"
"Suso","Serie A","LaLiga","18.9","20-21"
"Sergiño Dest","Eredivisie","LaLiga","18.9","20-21"
"Amad Diallo","Serie A","Premier League","18.9","20-21"
"Aaron Ramsdale","Championship","Premier League","18.45","20-21"
"Wendel","Liga NOS","Premier Liga","18.27","20-21"
"Éverton","Brazil","Liga NOS","18","20-21"
"Dominik Szoboszlai","Bundesliga","Bundesliga","18","20-21"
"Stefano Sensi","Serie A","Serie A","18","20-21"
"Alexander Sörloth","Premier League","Bundesliga","18","20-21"
"Diego Llorente","LaLiga","Premier League","18","20-21"
"Lucas Paquetá","Serie A","Ligue 1","18","20-21"
"Andrea Pinamonti","Serie A","Serie A","17.55","20-21"
"Raphinha","Ligue 1","Premier League","16.72","20-21"
"Vedat Muriqi","Süper Lig","Serie A","16.65","20-21"
"Bertrand Traoré","Ligue 1","Premier League","16.56","20-21"
"Roberto Inglese","Serie A","Serie A","16.2","20-21"
"Pedrinho","Paulistão A1 - Primeira fase","Liga NOS","16.2","20-21"
"Nicolò Rovella","Serie A","Serie A","16.2","20-21"
"Eberechi Eze","Championship","Premier League","16.02","20-21"
"Hélder Costa","Premier League","Premier League","15.93","20-21"
"Emiliano Martínez","Premier League","Premier League","15.66","20-21"
"Matt Doherty","Premier League","Premier League","15.12","20-21"
"Pierre-Emile Höjbjerg","Premier League","Premier League","14.94","20-21"
"Jamal Lewis","Championship","Premier League","14.85","20-21"
"Karlan Grant","Championship","Premier League","14.85","20-21"
"Pervis Estupiñán","Championship","LaLiga","14.76","20-21"
"Gonzalo Martínez","MLS","Professional League","14.73","20-21"
"Tomas Soucek","Fortuna Liga","Premier League","14.58","20-21"
"Jordan Veretout","Serie A","Serie A","14.4","20-21"
"Krépin Diatta","Jupiler Pro League","Ligue 1","14.4","20-21"
"Paulinho","Liga NOS","Liga NOS","14.4","20-21"
"Morgan Sanson","Ligue 1","Premier League","14.22","20-21"
"Antony","Paulistão A1 - Primeira fase","Eredivisie","14.18","20-21"
"Matty Cash","Championship","Premier League","14.18","20-21"
"Alex Telles","Liga NOS","Premier League","13.5","20-21"
"Mario Pasalic","Premier League","Serie A","13.5","20-21"
"Chris Smalling","Premier League","Serie A","13.5","20-21"
"Geoffrey Kondogbia","LaLiga","LaLiga","13.5","20-21"
"Luca Waldschmidt","Bundesliga","Liga NOS","13.5","20-21"
"Alfred Duncan","Serie A","Serie A","13.5","20-21"
"Serhou Guirassy","Ligue 2","Ligue 1","13.5","20-21"
"Jhon Córdoba","Bundesliga","Bundesliga","13.5","20-21"
"Nicolás Otamendi","Premier League","Liga NOS","13.5","20-21"
"Ibrahima Diallo","Ligue 1","Premier League","13.5","20-21"
"Aleksey Miranchuk","Premier Liga","Serie A","13.05","20-21"
"Pedro","Serie A","Série A","12.6","20-21"
"Óscar Rodríguez","LaLiga","LaLiga","12.15","20-21"
"Grady Diangana","Premier League","Premier League","12.15","20-21"
"Kyle Walker-Peters","Premier League","Premier League","11.97","20-21"
"Gianluca Mancini","Serie A","Serie A","11.7","20-21"
"Robin Koch","Bundesliga","Premier League","11.7","20-21"
"Axel Disasi","Ligue 1","Ligue 1","11.7","20-21"
"Marko Rog","Serie A","Serie A","11.7","20-21"
"Konstantinos Tsimikas","Super League 1","Premier League","11.7","20-21"
"Dennis Man","Liga 1","Serie A","11.7","20-21"
"Joe Rodon","Championship","Premier League","10.89","20-21"
"Giovanni Simeone","Serie A","Serie A","10.8","20-21"
"Martin Terrier","Ligue 1","Ligue 1","10.8","20-21"
"Dejan Lovren","Premier League","Premier Liga","10.8","20-21"
"Mohammed Salisu","LaLiga","Premier League","10.8","20-21"
"Oussama Idrissi","Eredivisie","LaLiga","10.8","20-21"
"Álex Berenguer","Serie A","LaLiga","10.8","20-21"
"Brenner","Série A","MLS","10.64","20-21"
"Anthony Knockaert","Premier League","Premier League","10.53","20-21"
"Karl Toko Ekambi","LaLiga","Ligue 1","10.35","20-21"
"Chidera Ejuke","Eredivisie","Premier Liga","10.35","20-21"
"Kevin Volland","Bundesliga","Ligue 1","9.9","20-21"
"Christian Kouamé","Serie A","Serie A","9.9","20-21"
"Davy Klaassen","Bundesliga","Eredivisie","9.9","20-21"
"Pol Lirola","Serie A","Serie A","9.9","20-21"
"Carles Pérez","LaLiga","Serie A","9.9","20-21"
"Kevin Bonifazi","Serie A","Serie B","9.9","20-21"
"Jakub Moder","Ekstraklasa","Premier League","9.9","20-21"
"Joakim Maehle","Jupiler Pro League","Serie A","9.9","20-21"
"Jeremie Frimpong","Premiership","Bundesliga","9.9","20-21"
"Rolando Mandragora","Serie A","Serie A","9.63","20-21"
"Marcos Acuña","Liga NOS","LaLiga","9.45","20-21"
"Félix Correia","Premier League 2","Serie C - A","9.45","20-21"
"Marc Cucurella","LaLiga","LaLiga","9","20-21"
"Habib Diallo","Ligue 1","Ligue 1","9","20-21"
"Pablo Moreno","Primavera 1","Premier League","9","20-21"
"Baptiste Santamaria","Ligue 1","Bundesliga","9","20-21"
"Alfred Gomis","Ligue 1","Ligue 1","9","20-21"
"Ridle Baku","Bundesliga","Bundesliga","9","20-21"
"Manolo Portanova","Serie A","Serie A","9","20-21"
"Carlos Fernández","LaLiga","LaLiga","9","20-21"
"Ki-Jana Hoever","Premier League 2","Premier League","8.82","20-21"
"Marc Roca","LaLiga2","Bundesliga","8.1","20-21"
"Hee-chan Hwang","Bundesliga","Bundesliga","8.1","20-21"
"Ibrahim Sangaré","Ligue 2","Eredivisie","8.1","20-21"
"Adrian Grbic","Ligue 2","Ligue 1","8.1","20-21"
"Mohammed Kudus","Superligaen","Eredivisie","8.1","20-21"
"Grégoire Defrel","Serie A","Serie A","8.1","20-21"
"Vlad Chiriche<U+0219>","Serie A","Serie A","8.1","20-21"
